type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id_kabupaten,properties/id_provinsi,properties/id_kecamatan,properties/provinsi,properties/prov,properties/kabupaten,properties/kecamatan,properties/minggu
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,1
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,2
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,3
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,4
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,5
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,6
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,7
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,8
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,9
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,10
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,11
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,12
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,13
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,14
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,15
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,16
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,17
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,18
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,19
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,20
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,21
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,22
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,23
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,24
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,25
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,26
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,27
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,28
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,29
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,30
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,31
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,32
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,33
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,34
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,35
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,36
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,37
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,38
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,39
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,40
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,41
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,42
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,43
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,44
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,45
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,46
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,47
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,48
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,49
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,50
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,51
Feature,Point,115.21703,-8.54318,5103,51,5103050,BALI,BALI,KAB. BADUNG,ABIANSEMAL,52
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,1
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,2
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,3
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,4
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,5
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,6
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,7
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,8
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,9
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,10
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,11
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,12
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,13
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,14
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,15
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,16
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,17
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,18
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,19
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,20
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,21
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,22
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,23
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,24
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,25
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,26
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,27
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,28
Feature,Point,114.99915,-8.32002,5108,51,5108040,BALI,BALI,KAB. BULELENG,BANJAR,29
