No,Nama Puskesmas,Kode Puskesmas,Kecamatan,Kabupaten,Provinsi,Longitude,Latitude
1,ABIANSEMAL I,1050038,ABIANSEMAL,BADUNG,BALI,115.1073,-8.6134
2,ABIANSEMAL II,1050039,ABIANSEMAL,BADUNG,BALI,115.1073,-8.613
3,ABIANSEMAL III,1050040,ABIANSEMAL,BADUNG,BALI,115.2187,-8.5698
4,ABIANSEMAL IV,1050041,ABIANSEMAL,BADUNG,BALI,115.2148,-8.5432
5,KUTA I,1050032,KUTA,BADUNG,BALI,115.1773,-8.7296
6,KUTA II,1050033,KUTA,BADUNG,BALI,115.1694,-8.7094
7,KUTA SELATAN,1050031,KUTA SELATAN,BADUNG,BALI,115.2229,-8.8033
8,KUTA UTARA,1050034,KUTA SELATAN,BADUNG,BALI,115.1712,-8.6469
9,MENGWI I,1050035,MENGWI,BADUNG,BALI,115.1328,-8.622
10,MENGWI II,1050036,MENGWI,BADUNG,BALI,115.1328,-8.622
11,MENGWI III,1050037,MENGWI,BADUNG,BALI,115.1599,-8.6136
12,PETANG I,1050042,PETANG,BADUNG,BALI,115.2157,-8.4007
13,PETANG II,1050043,PETANG,BADUNG,BALI,115.1869,-8.3478
14,BANGLI,1050068,BANGLI,BANGLI,BALI,115.3502,-8.5008
15,BANGLI UTARA,1050069,BANGLI,BANGLI,BALI,115.3356,-8.3226
16,KINTAMANI I,1050072,KINTAMANI,BANGLI,BALI,115.3549,-8.2574
17,KINTAMANI II,1050075,KINTAMANI,BANGLI,BALI,115.2135,-8.1828
18,KINTAMANI III,1050073,KINTAMANI,BANGLI,BALI,115.1783,-8.2447
19,KINTAMANI IV,1050076,KINTAMANI,BANGLI,BALI,115.3935,-8.3084
20,KINTAMANI V,1050074,KINTAMANI,BANGLI,BALI,115.3724,-8.2284
21,KINTAMANI VI,1050077,KINTAMANI,BANGLI,BALI,115.3136,-8.2961
22,SUSUT I,1050066,SUSUT,BANGLI,BALI,115.2472,-8.4312
23,SUSUT II,1050067,SUSUT,BANGLI,BALI,115.2472,-8.4243
24,TEMBUKU I,1050070,TEMBUKU,BANGLI,BALI,115.3631,-8.3937
25,TEMBUKU II,1050071,TEMBUKU,BANGLI,BALI,115.3631,-8.3966
26,BANJAR I,1050097,BANJAR,BULELENG,BALI,114.7361,-8.3484
27,BANJAR II,1050098,BANJAR,BULELENG,BALI,115.0235,-8.2596
28,BULELENG I,1050101,BULELENG,BULELENG,BALI,114.9947,-8.2716
29,BULELENG II,1050102,BULELENG,BULELENG,BALI,115.034,-8.1572
30,BULELENG III,1050103,BULELENG,BULELENG,BALI,115.1084,-8.0995
31,BUSUNGBIU I,1050095,BUSUNGBIU,BULELENG,BALI,114.9669,-8.2584
32,BUSUNGBIU II,1050096,BUSUNGBIU,BULELENG,BALI,114.8988,-8.3087
33,GEROKGAK I,1050090,GEROKGAK,BULELENG,BALI,114.7722,-8.214
34,GEROKGAK II,1050091,GEROKGAK,BULELENG,BALI,115.1211,-8.1205
35,KUBUTAMBAHAN I,1050106,KUBUTAMBAHAN,BULELENG,BALI,115.1732,-8.0774
36,KUBUTAMBAHAN II,1050107,KUBUTAMBAHAN,BULELENG,BALI,115.1946,-8.1307
37,SAWAN I,1050104,SAWAN,BULELENG,BALI,115.1346,-8.0888
38,SAWAN II,1050105,SAWAN,BULELENG,BALI,115.1757,-8.1376
39,SERIRIT I,1050092,SERIRIT,BULELENG,BALI,114.9346,-8.1916
40,SERIRIT II,1050093,SERIRIT,BULELENG,BALI,114.8955,-8.1994
41,SERIRIT III,1050094,SERIRIT,BULELENG,BALI,114.9432,-8.2308
42,SUKASADA I,1050099,SUKASADA,BULELENG,BALI,115.1078,-8.1505
43,SUKASADA II,1050100,SUKASADA,BULELENG,BALI,115.0998,-8.2721
44,TEJAKULA I,1050108,TEJAKULA,BULELENG,BALI,115.1461,-8.1245
45,TEJAKULA II,1050109,TEJAKULA,BULELENG,BALI,115.2775,-8.1267
46,BLAHBATUH I,1050046,BLAHBATU,GIANYAR,BALI,115.3249,-8.574
47,BLAHBATUH II,1050047,BLAHBATU,GIANYAR,BALI,115.1748,-8.5914
48,GIANYAR I,1050048,GIANYAR,GIANYAR,BALI,115.2921,-8.5739
49,GIANYAR II,1050049,GIANYAR,GIANYAR,BALI,115.2871,-8.4782
50,PAYANGAN,1050056,PAYANGAN,GIANYAR,BALI,115.2433,-8.4221
51,SUKAWATI I,1050044,SUKAWATI ,GIANYAR,BALI,115.2601,-8.5862
52,SUKAWATI II,1050045,SUKAWATI ,GIANYAR,BALI,115.1523,-8.5787
53,TAMPAKSIRING I,1050051,TAMPAKSIRING,GIANYAR,BALI,115.3047,-8.4192
54,TAMPAKSIRING II,1050050,TAMPAKSIRING,GIANYAR,BALI,115.2884,-8.5114
55,TEGALALANG I,1050054,TEGALALANG,GIANYAR,BALI,115.2934,-8.392
56,TEGALALANG II,1050055,TEGALALANG,GIANYAR,BALI,115.2965,-8.3832
57,UBUD I,1050052,UBUD,GIANYAR,BALI,115.1546,-8.51
58,UBUD II,1050053,UBUD,GIANYAR,BALI,115.2528,-8.5078
59,I JEMBRANA,1050006,JEMBRANA,JEMBRANA,BALI,114.6647,-8.379
60,II JEMBRANA,1050005,JEMBRANA,JEMBRANA,BALI,114.6602,-8.3941
61,I MELAYA,1050002,MELAYA,JEMBRANA,BALI,114.614,-8.3689
62,II MELAYA,1050001,MELAYA,JEMBRANA,BALI,114.472,-8.2471
63,I MENDOYO,1050007,MENDOYO,JEMBRANA,BALI,114.7038,-8.3845
64,II MENDOYO,1050008,MENDOYO,JEMBRANA,BALI,114.7799,-8.3374
65,I NEGARA,1050004,NEGARA,JEMBRANA,BALI,114.6602,-8.3941
66,II NEGARA,1050003,NEGARA,JEMBRANA,BALI,114.613,-8.3923
67,I PEKUTATAN,1050009,PEKUTATAN,JEMBRANA,BALI,114.842,-8.4208
68,II PEKUTATAN,1050010,PEKUTATAN,JEMBRANA,BALI,114.8894,-8.4294
69,ABANG I,1050084,ABANG,KARANG ASEM,BALI,115.5449,-8.3632
70,ABANG II,1050085,ABANG,KARANG ASEM,BALI,115.609,-8.3423
71,BEBANDEM,1050086,BEBANDEM,KARANG ASEM,BALI,115.3748,-8.3847
72,KARANGASEM I,1050083,KARANGASEM,KARANG ASEM,BALI,115.5982,-8.4861
73,KARANGASEM II,1050082,KARANGASEM,KARANG ASEM,BALI,115.6608,-8.4313
74,KUBU I,1050089,KUBU,KARANG ASEM,BALI,115.5683,-8.2533
75,KUBU II,1050088,KUBU,KARANG ASEM,BALI,115.4971,-8.1998
76,MANGGIS I,1050080,MANGGIS,KARANG ASEM,BALI,115.2255,-8.635
77,MANGGIS II,1050081,MANGGIS,KARANG ASEM,BALI,115.5497,-8.4953
78,RENDANG,1050078,RENDANG,KARANG ASEM,BALI,115.4358,-8.4096
79,SELAT,1050087,SELAT,KARANG ASEM,BALI,115.4575,-8.4544
80,SIDEMEN,1050079,SIDEMEN,KARANG ASEM,BALI,115.4429,-8.4841
81,BANJARANGKAN I,1050061,BANJARANGKAN,KLUNGKUNG,BALI,115.3666,-8.5449
82,BANJARANGKAN II,1050060,BANJARANGKAN,KLUNGKUNG,BALI,115.3692,-8.5582
83,DAWAN I,1050064,DAWAN,KLUNGKUNG,BALI,115.4572,-8.5299
84,DAWAN II,1050065,DAWAN,KLUNGKUNG,BALI,115.423,-8.5473
85,KLUNGKUNG I,1050062,KLUNGKUNG,KLUNGKUNG,BALI,115.2985,-8.5519
86,KLUNGKUNG II,1050063,KLUNGKUNG,KLUNGKUNG,BALI,115.362,-8.4965
87,NUSA PENIDA I,1050057,NUSA PENIDA,KLUNGKUNG,BALI,115.4683,-8.6969
88,NUSA PENIDA II,1050058,NUSA PENIDA,KLUNGKUNG,BALI,115.4473,-8.6788
89,NUSA PENIDA III,1050059,NUSA PENIDA,KLUNGKUNG,BALI,115.5204,-8.7201
90,I DENPASAR BARAT,1050117,DENPASAR BARAT,KOTA DENPASAR,BALI,115.1706,-8.6873
91,II DENPASAR BARAT,1050116,DENPASAR BARAT,KOTA DENPASAR,BALI,115.186,-8.6873
92,I DENPASAR SELATAN,1050111,DENPASAR SELATAN,KOTA DENPASAR,BALI,115.2052,-8.6949
93,II DENPASAR SELATAN,1050112,DENPASAR SELATAN,KOTA DENPASAR,BALI,115.255,-8.6831
94,III DENPASAR SELATAN,1050113,DENPASAR SELATAN,KOTA DENPASAR,BALI,115.2052,-8.6949
95,IV DENPASAR SELATAN,1050110,DENPASAR SELATAN,KOTA DENPASAR,BALI,115.2078,-8.6953
96,I DENPASAR TIMUR,1050114,DENPASAR TIMUR,KOTA DENPASAR,BALI,115.2352,-8.667
97,II DENPASAR TIMUR,1050115,DENPASAR TIMUR,KOTA DENPASAR,BALI,115.2424,-8.6144
98,I DENPASAR UTARA,1050118,DENPASAR UTARA,KOTA DENPASAR,BALI,115.1989,-8.6567
99,II DENPASAR UTARA,1050119,DENPASAR UTARA,KOTA DENPASAR,BALI,115.1989,-8.6567
100,III DENPASAR UTARA,1050120,DENPASAR UTARA,KOTA DENPASAR,BALI,115.2075,-8.6349
101,BATURITI I,1050025,BATURITI,TABANAN,BALI,115.1819,-8.3912
102,BATURITI II,1050026,BATURITI,TABANAN,BALI,115.197,-8.4304
103,KEDIRI I,1050020,KEDIRI,TABANAN,BALI,115.1326,-8.5849
104,KEDIRI II,1050021,KEDIRI,TABANAN,BALI,115.1222,-8.593
105,KEDIRI III,1050022,KEDIRI,TABANAN,BALI,115.1222,-8.5929
106,KERAMBITAN I,1050015,KERAMBITAN,TABANAN,BALI,115.0782,-8.5313
107,KERAMBITAN II,1050016,KERAMBITAN,TABANAN,BALI,115.0541,-8.5111
108,MARGA I,1050023,MARGA,TABANAN,BALI,115.1682,-8.4806
109,MARGA II,1050024,MARGA,TABANAN,BALI,115.1525,-8.5174
110,PENEBEL I,1050027,PENEBEL,TABANAN,BALI,115.1397,-8.4368
111,PENEBEL II,1050028,PENEBEL,TABANAN,BALI,115.1231,-8.4367
112,PUPUAN I,1050029,PUPUAN,TABANAN,BALI,115.0553,-8.4365
113,PUPUAN II,1050030,PUPUAN,TABANAN,BALI,115.0553,-8.4365
114,SELEMADEG,1050011,SELEMADEG,TABANAN,BALI,115.0258,-8.5043
115,SELEMADEG BARAT,1050014,SELEMADEG BARAT,TABANAN,BALI,114.9604,-8.494
116,SELEMADEG TIMUR I,1050012,SELEMADEG TIMUR,TABANAN,BALI,115.0493,-8.4963
117,SELEMADEG TIMUR II,1050013,SELEMADEG TIMUR,TABANAN,BALI,115.0165,-8.4962
118,TABANAN I,1050018,TABANAN,TABANAN,BALI,115.0929,-8.5516
119,TABANAN II,1050019,TABANAN,TABANAN,BALI,115.1013,-8.5404
120,TABANAN III,1050017,TABANAN,TABANAN,BALI,115.1242,-8.5327
